d,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
5.31,400,0.1,400,0.157723103,0.521808169,5.212849276,0.999999927,2.311347209,2.901502067,0.167595789,0.311894622
4.956,400,0.1,400,0.160739207,0.504340672,5.350248222,0.99999976,2.354864269,2.995383952,0.171282217,0.31992974
4.602,400,0.1,400,0.164053252,0.484910641,5.499695247,0.999999919,2.400242811,3.099452435,0.175383243,0.328674118
4.248,400,0.1,400,0.167721793,0.463141771,5.663039873,0.999999807,2.447247476,3.215792397,0.179990131,0.3382395
3.894,400,0.1,400,0.171818166,0.438555943,5.84250379,0.999999605,2.49538455,3.34711924,0.18522585,0.348761552
3.54,400,0.1,400,0.176439614,0.410536926,6.040831892,0.999999669,2.543666686,3.497165206,0.191262496,0.360408968
3.186,400,0.1,400,0.181718539,0.378283724,6.261367055,1.000000851,2.590252468,3.671114587,0.198349398,0.373391018
2.832,400,0.1,400,0.187841081,0.340746993,6.508173989,0.999999056,2.631665927,3.876508062,0.206866288,0.387966058
2.478,400,0.1,400,0.195079461,0.296569758,6.78615316,1.000000759,2.661280788,4.124872372,0.217433262,0.404452301
2.124,400,0.1,400,0.203852183,0.244074671,7.100749658,0.999999782,2.665926554,4.434823103,0.231155278,0.423212441
1.77,400,0.1,400,0.214846077,0.181577143,7.456633718,0.999999629,2.618046763,4.838586955,0.250284636,0.444570822
1.416,400,0.1,400,0.229293694,0.109111202,7.852923653,1.000000894,2.456420382,5.39650327,0.280531957,0.468453744
1.062,400,0.1,400,0.249714876,0.036019697,8.266235028,0.999984575,2.042501102,6.223733926,0.344210409,0.492986612
0.708,400,0.1,400,0.282470866,0.000325478,8.429779868,0.962723451,1.265176231,7.164603637,0.700318968,0.501132844
0.354,400,0.1,400,0.351973956,1.50E-18,5.591471844,0.490767163,1.109018268,4.482453576,0.978895617,0.353260363
5.31,400,0.025,700,0.157723103,0.580225808,5.371101665,0.984657522,0.941163419,4.429938246,0.221613405,0.326770485
4.956,400,0.025,700,0.160739207,0.561196898,5.576469731,0.983305594,0.968557492,4.607912239,0.22928448,0.338911654
4.602,400,0.025,700,0.164053252,0.539880928,5.803010847,0.981650158,0.998075546,4.804935301,0.238069501,0.352277506
4.248,400,0.025,700,0.167721793,0.515824534,6.054247004,0.979582832,1.029890102,5.024356902,0.248260899,0.367066887
3.894,400,0.025,700,0.171818166,0.488450634,6.334432805,0.976941409,1.064133175,5.27029963,0.260266723,0.383518837
3.54,400,0.025,700,0.176439614,0.457017122,6.648668261,0.973472117,1.100834889,5.547833372,0.274673293,0.401916942
3.186,400,0.025,700,0.181718539,0.420565964,7.002892354,0.968760283,1.139801923,5.863090431,0.292352893,0.422586643
2.832,400,0.025,700,0.187841081,0.377865671,7.403513657,0.962090659,1.180376592,6.223137065,0.31465573,0.445869054
2.478,400,0.025,700,0.195079461,0.327384012,7.855904611,0.952157121,1.220958588,6.634946023,0.343767465,0.472025054
2.124,400,0.025,700,0.203852183,0.267410514,8.359449709,0.9363847,1.258069951,7.101379759,0.383394163,0.500931786
1.77,400,0.025,700,0.214846077,0.196781064,8.891969797,0.909296921,1.284710744,7.607259053,0.440055593,0.531151322
1.416,400,0.025,700,0.229293694,0.117641618,9.361060764,0.858435806,1.288718358,8.072342406,0.525020173,0.557083677
1.062,400,0.025,700,0.249714876,0.043358746,9.466868478,0.756037606,1.25880064,8.208067837,0.653003398,0.561244255
0.708,400,0.025,700,0.282470866,0.004026042,8.500406224,0.560536659,1.216042214,7.28436401,0.815488956,0.504909159
0.354,400,0.025,700,0.351973956,1.26E-06,5.582367714,0.27979391,1.11180879,4.470558924,0.940507866,0.352818302
5.31,400,0.1,700,0.157723103,0.38258541,7.26829408,1.000000094,2.259343121,5.008950959,0.184092392,0.437868852
4.956,400,0.1,700,0.160739207,0.361409728,7.467109293,0.999999504,2.280430029,5.186679264,0.189225716,0.449534238
4.602,400,0.1,700,0.164053252,0.338174617,7.682526994,0.999999677,2.298507137,5.384019857,0.195081828,0.462163854
4.248,400,0.1,700,0.167721793,0.312572864,7.916777426,0.999998906,2.311913187,5.604864239,0.201862933,0.475885801
3.894,400,0.1,700,0.171818166,0.284251552,8.172449224,0.999998502,2.318151938,5.854297286,0.20986369,0.490848751
3.54,400,0.1,700,0.176439614,0.252815938,8.452485291,0.99999662,2.313424261,6.13906103,0.219534861,0.507220207
3.186,400,0.1,700,0.181718539,0.21786127,8.760108401,0.999994156,2.291816772,6.468291629,0.231610898,0.525180876
2.832,400,0.1,700,0.187841081,0.179056209,9.098518013,0.999981403,2.243875108,6.854642905,0.247392925,0.54490391
2.478,400,0.1,700,0.195079461,0.136375889,9.470143762,0.999937717,2.154157191,7.315986571,0.269473688,0.566499942
2.124,400,0.1,700,0.203852183,0.090697004,9.874104116,0.999708699,1.997082965,7.877021151,0.303975014,0.589848611
1.77,400,0.1,700,0.214846077,0.045377427,10.29613417,0.9979518,1.733095521,8.563038649,0.369292232,0.613942148
1.416,400,0.1,700,0.229293694,0.010334159,10.6250538,0.978330897,1.346514475,9.278539325,0.530810826,0.63178226
1.062,400,0.1,700,0.249714876,0.000162191,10.20339279,0.837439746,1.129448035,9.073944752,0.82152032,0.604240472
0.708,400,0.1,700,0.282470866,3.01E-09,8.62446794,0.5730494,1.17929282,7.44517512,0.948624954,0.511817491
0.354,400,0.1,700,0.351973956,6.64E-24,5.592491754,0.28051125,1.108707529,4.483784225,0.985049366,0.353309949
5.31,400,0.025,1000,0.157723103,0.489880694,6.705892199,0.932756395,0.900752573,5.805139626,0.273128869,0.409245054
4.956,400,0.025,1000,0.160739207,0.468125631,6.948955327,0.928134887,0.924064608,6.024890719,0.284112895,0.423615998
4.602,400,0.025,1000,0.164053252,0.444027231,7.213800883,0.922619365,0.948822401,6.264978482,0.296686468,0.439231048
4.248,400,0.025,1000,0.167721793,0.417199066,7.503015479,0.915936573,0.975051174,6.527964304,0.311241917,0.45622742
3.894,400,0.025,1000,0.171818166,0.387181882,7.81922706,0.907696736,1.002704897,6.816522163,0.328310018,0.474738986
3.54,400,0.025,1000,0.176439614,0.353439361,8.164735869,0.897328,1.031611182,7.133124687,0.348623374,0.494871106
3.186,400,0.025,1000,0.181718539,0.31537173,8.540650707,0.883966304,1.061378037,7.47927267,0.373214188,0.516645495
2.832,400,0.025,1000,0.187841081,0.272374213,8.944987998,0.866260828,1.091245591,7.853742407,0.403565189,0.539881408
2.478,400,0.025,1000,0.195079461,0.224011859,9.368466397,0.842031615,1.119869754,8.248596643,0.441836,0.563938351
2.124,400,0.025,1000,0.203852183,0.17046558,9.78514531,0.807642847,1.145090596,8.640054714,0.491160965,0.587154125
1.77,400,0.025,1000,0.214846077,0.113582476,10.13186479,0.756945805,1.164037885,8.967826907,0.555857579,0.605639927
1.416,400,0.025,1000,0.229293694,0.058945087,10.26612685,0.679871191,1.174885007,9.091241847,0.640703609,0.610903011
1.062,400,0.025,1000,0.249714876,0.017922974,9.900234815,0.562679651,1.18266838,8.717566435,0.746448082,0.586537142
0.708,400,0.025,1000,0.282470866,0.001357992,8.570112056,0.397068447,1.197018566,7.37309349,0.85827181,0.508792125
0.354,400,0.025,1000,0.351973956,3.95E-07,5.584271248,0.1959495,1.111222267,4.473048981,0.946636196,0.35291062
5.31,400,0.1,1000,0.157723103,0.284959023,8.85309727,0.999899076,2.015794412,6.837302857,0.212595786,0.536216878
4.956,400,0.1,1000,0.160739207,0.262272177,9.093784426,0.999854098,2.0084521,7.085332326,0.220952258,0.550425834
4.602,400,0.1,1000,0.164053252,0.237739065,9.353021441,0.999780806,1.993117912,7.359903529,0.230891987,0.565711256
4.248,400,0.1,1000,0.167721793,0.211193781,9.632750307,0.99965154,1.96691902,7.665831287,0.243001185,0.582181201
3.894,400,0.1,1000,0.171818166,0.182503985,9.934881355,0.999410547,1.925834207,8.009047148,0.258211705,0.599939889
3.54,400,0.1,1000,0.176439614,0.151629819,10.26086708,0.998919787,1.864205932,8.396661151,0.278092231,0.61905783
3.186,400,0.1,1000,0.181718539,0.118756457,10.61054778,0.99782477,1.774193639,8.83635414,0.305463542,0.63950059
2.832,400,0.1,1000,0.187841081,0.084582539,10.97874858,0.995083132,1.645686837,9.333061744,0.34573552,0.660912314
2.478,400,0.1,1000,0.195079461,0.050969307,11.34445761,0.987396287,1.469478228,9.874979387,0.409612362,0.68193715
2.124,400,0.1,1000,0.203852183,0.022157563,11.63640627,0.964073576,1.254345641,10.38206063,0.515677212,0.698082235
1.77,400,0.1,1000,0.214846077,0.004853941,11.66658581,0.898219958,1.072983546,10.59360227,0.674338056,0.697668769
1.416,400,0.1,1000,0.229293694,0.0002691,11.20900301,0.765890075,1.037162812,10.17184019,0.83143366,0.667093312
1.062,400,0.1,1000,0.249714876,1.15E-06,10.24723748,0.59182762,1.106726447,9.140511033,0.920899836,0.606848546
0.708,400,0.1,1000,0.282470866,1.54E-11,8.626249004,0.401301092,1.178555832,7.447693173,0.963294065,0.511920073
0.354,400,0.1,1000,0.351973956,4.66E-26,5.592738574,0.19637018,1.108632367,4.484106207,0.986612462,0.35332195
5.31,400,0.025,1300,0.157723103,0.423884718,7.687324152,0.858762652,0.863071694,6.824252458,0.319920717,0.46995096
4.956,400,0.025,1300,0.160739207,0.401196214,7.942791734,0.850969658,0.883591812,7.059199921,0.333196325,0.485019067
