"b","pe","ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
2.79,-0.00068,400,0.025,100,0.0485289597095963,0.865621223577681,1.41049529069403,0.999999996235531,0.539915687369009,0.870579603325026,0.0506283794504042,0.0843113421951547
2.79,-0.00068,400,0.1,100,0.0485289597095963,0.791099774924839,1.89687480556485,1.00000004146262,1.16328312539307,0.733591680171779,0.0494941024721439,0.112891919008949
2.79,-0.00068,400,0.025,400,0.0485289597095963,0.674213141928247,3.9675462991293,0.99980503086855,0.683916270393596,3.2836300287357,0.0776753204764058,0.23970256337529
2.79,-0.00068,400,0.1,400,0.0485289597095963,0.528767287880051,5.16344262427735,1.00000003164307,1.64808509771791,3.51535752655944,0.0587982768853772,0.30929631275634
2.79,-0.00068,400,0.025,700,0.0485289597095963,0.517772737886092,6.14763447609044,0.984345030766478,0.703367285308588,5.44426719078185,0.146735984197538,0.37290825010273
2.79,-0.00068,400,0.1,700,0.0485289597095963,0.371001544650543,7.46663325261234,0.999999722797935,1.54047891690588,5.92615433570646,0.0817740651818838,0.449925940666114
2.79,-0.00068,400,0.025,1000,0.0485289597095963,0.395585995683427,7.86474461165917,0.923132813632045,0.703967517336762,7.16077709432241,0.236375146747393,0.477953023388885
2.79,-0.00068,400,0.1,1000,0.0485289597095963,0.244800480396786,9.43293990697106,0.999651012425579,1.31833864925494,8.11460125771611,0.13543291479403,0.57093981933969
2.79,-0.00068,400,0.025,1300,0.0485289597095963,0.312050044249027,9.04227073520174,0.83488155250434,0.700834190813864,8.34143654438787,0.315143284877195,0.550021389143051
2.79,-0.00068,400,0.1,1300,0.0485289597095963,0.138709098963915,11.1477332059464,0.989125976734119,1.06757335393782,10.0801598520086,0.255323879686617,0.67698241786268
2.79,-0.00068,400,0.025,1600,0.0485289597095963,0.256796181279653,9.82230540242175,0.745856177347864,0.697616334888628,9.12468906753312,0.375454729171363,0.59777294292345
2.79,-0.00068,400,0.1,1600,0.0485289597095963,0.0650959840582017,12.3634511208931,0.93755207233804,0.867878218361729,11.4955729025314,0.431457108195739,0.752382551091466
2.79,-0.00068,400,0.025,1900,0.0485289597095963,0.21943555713177,10.3502103030214,0.666690030554668,0.694981942534631,9.6552283604868,0.420378276917437,0.630094276844992
2.79,-0.00068,400,0.1,1900,0.0485289597095963,0.0285033278048197,12.9758499667914,0.848273765195719,0.760842086370871,12.2150078804206,0.582364500248095,0.790434576843704
2.79,-0.00068,400,0.025,2200,0.0485289597095963,0.193210314780439,10.7209953077215,0.5992431734682,0.692918560139255,10.0280767475823,0.454177633543136,0.652797951281936
2.79,-0.00068,400,0.1,2200,0.0485289597095963,0.0132652390122712,13.2332923553795,0.754462506732031,0.713992709063985,12.5192996463155,0.679294965801382,0.806452438507923
2.79,-0.00068,400,0.025,2500,0.0485289597095963,0.174094682858447,10.9913782529126,0.542415471397378,0.691302602109893,10.3000756508027,0.480141946556884,0.669354984744677
2.79,-0.00068,400,0.1,2500,0.0485289597095963,0.00686794465640818,13.3421962605456,0.672229630495659,0.693565852536026,12.6486304080096,0.738065602710427,0.813235908695439
2.79,-0.00068,400,0.025,2800,0.0485289597095963,0.159685829025272,11.1952525378257,0.494465071778037,0.690020817519069,10.5052317203066,0.500537724395882,0.68183996672253
2.79,-0.00068,400,0.1,2800,0.0485289597095963,0.00394561664889999,13.3922700175897,0.603672937715416,0.683939743162965,12.7083302744268,0.7749959703859,0.816357905906238
2.79,-0.00068,400,0.025,3100,0.0485289597095963,0.148508127089632,11.3534492370614,0.453744941114963,0.688987725682659,10.6644615113788,0.516896752421992,0.691528106904552
2.79,-0.00068,400,0.1,3100,0.0485289597095963,0.00247542048849844,13.4176089619408,0.546862785633798,0.678965341811241,12.7386436201296,0.79954475257496,0.81793909466295
2.79,-0.00068,400,0.025,3400,0.0485289597095963,0.139623167087004,11.4792232063363,0.418882043428781,0.688141705384728,10.7910815009516,0.530264011407426,0.699230895186759
2.79,-0.00068,400,0.1,3400,0.0485289597095963,0.00166815362816951,13.4315966208121,0.499432004005784,0.67616828571623,12.7554283350959,0.816753905171627,0.818812635421233
2.79,-0.00068,400,0.025,3700,0.0485289597095963,0.132413252153186,11.5813030713446,0.388779447021076,0.687438566911561,10.8938645044331,0.541365929877709,0.705482752119529
2.79,-0.00068,400,0.1,3700,0.0485289597095963,0.00119073858197846,13.4399098628559,0.459392279430719,0.674478257046866,12.765431605809,0.829371311264578,0.819332186127994
2.79,-0.00068,400,0.025,4000,0.0485289597095963,0.126458668388534,11.6656218009096,0.362572440482191,0.68684633486741,10.9787754660422,0.55071836042383,0.710646950883567
2.79,-0.00068,400,0.1,4000,0.0485289597095963,0.000890394943679412,13.4451636806642,0.425207000814134,0.673394007515092,12.7717696731491,0.838968231875835,0.819660779552608
4.74,-0.00138,400,0.025,100,0.195621338554875,0.822951405745704,1.7006327460849,0.999999982083054,0.887002287118821,0.813630458966079,0.198568729675156,0.101307149722224
4.74,-0.00138,400,0.1,100,0.195621338554875,0.743923645794878,2.14373469803657,1.0000024261572,1.59827256508555,0.545462132951011,0.1970148777973,0.127784696914789
4.74,-0.00138,400,0.025,400,0.195621338554875,0.602942881534502,4.55139260713498,0.999259519878101,1.15766056341,3.39373204372498,0.228535407301306,0.27368769197711
4.74,-0.00138,400,0.1,400,0.195621338554875,0.40750106182374,6.06119728825955,1.00000022664437,2.56884588125808,3.49235140700147,0.210574313955631,0.361600758486154
4.74,-0.00138,400,0.025,700,0.195621338554875,0.456277156327052,6.64880518498296,0.971412794910553,1.1126620908757,5.53614309410727,0.292860856982869,0.401892805447821
4.74,-0.00138,400,0.1,700,0.195621338554875,0.250124129857898,8.47223953972259,0.999996473771236,2.33430832731842,6.13793121240417,0.238920293360678,0.508368683497251
4.74,-0.00138,400,0.025,1000,0.195621338554875,0.35427187555923,8.1435438121111,0.893006173142813,1.04256340057798,7.10098041153311,0.364314685962884,0.493542217400865
4.74,-0.00138,400,0.1,1000,0.195621338554875,0.149823102021588,10.2737473844463,0.998754192053428,1.87886954504257,8.39487783940372,0.297257509503683,0.619800104260437
4.74,-0.00138,400,0.025,1300,0.195621338554875,0.288082783306747,9.12272065420523,0.797067719220688,0.98733362451196,8.13538702969327,0.422163209657817,0.553655433901144
4.74,-0.00138,400,0.1,1300,0.195621338554875,0.0806553195686113,11.6573298467841,0.980140833161877,1.41058438351308,10.246745463271,0.405665034464645,0.706378356097674
