h3,ca,k,MAP,wL,fwL,averA,E/MAP,averm,averB,averw,averci/ca
30,400,0.1,400,0.196765875,0.424096702,6.139254615,0.999998139,2.687347792,3.451906823,0.215002791,0.365107396
35,400,0.1,400,0.199989441,0.412891217,6.223415364,0.999999827,2.718648298,3.504767067,0.219172631,0.369969213
40,400,0.1,400,0.202830779,0.401705869,6.304409009,0.999999973,2.747366956,3.557042052,0.222939912,0.374657129
45,400,0.1,400,0.205375054,0.390827263,6.381106473,0.999997214,2.773400006,3.607706468,0.226389519,0.379103961
50,400,0.1,400,0.207681864,0.380362962,6.453337565,0.99999974,2.7968726,3.656464966,0.229582396,0.38329656
100,400,0.1,400,0.22365027,0.998304854,0.015646928,0.999999998,0.009530054,0.006116874,0.223681218,0.000927651
1,400,0.025,700,0.158186003,0.997235826,0.015966666,0.995846822,0.002118076,0.01384859,0.158302332,0.00108045
5,400,0.025,700,0.168266695,0.440419841,6.411315917,0.979046844,0.978469127,5.43284679,0.251574029,0.389823209
10,400,0.025,700,0.176439614,0.457017122,6.648668261,0.973472117,1.100834889,5.547833372,0.274673293,0.401916942
15,400,0.025,700,0.18317042,0.440473464,6.901867188,0.968354477,1.146474111,5.755393077,0.293941435,0.416474509
20,400,0.025,700,0.188598461,0.41920749,7.135800796,0.963588404,1.184027906,5.95177289,0.310290126,0.42999701
25,400,0.025,700,0.193033568,0.398659817,7.341644199,0.959089876,1.218479771,6.123164428,0.324518126,0.441870968
30,400,0.025,700,0.196765875,0.379789292,7.521520756,0.954796988,1.249657721,6.271863034,0.337199117,0.452220854
35,400,0.025,700,0.199989441,0.362610762,7.679534302,0.950666832,1.277677073,6.401857229,0.348707902,0.46129174
40,400,0.025,700,0.202830779,0.346948603,7.819442543,0.946670406,1.302856088,6.516586454,0.359294804,0.469305928
45,400,0.025,700,0.205375054,0.332605849,7.94428651,0.942786587,1.325554176,6.618732334,0.369133659,0.476442887
50,400,0.025,700,0.207681864,0.319406572,8.056468132,0.938999976,1.346103216,6.710364916,0.378350127,0.482844133
100,400,0.025,700,0.22365027,0.997986405,0.021432589,0.993614778,0.006056914,0.015375675,0.223895319,0.001274984
1,400,0.1,700,0.158186003,0.992205042,0.028544245,0.999999933,0.006863749,0.021680496,0.158264229,0.002145284
5,400,0.1,700,0.168266695,0.176364509,8.509181497,0.999999212,1.973694452,6.535487045,0.206798792,0.51407927
10,400,0.1,700,0.176439614,0.252815938,8.452485291,0.99999662,2.313424261,6.13906103,0.219534861,0.507220207
15,400,0.1,700,0.18317042,0.260929435,8.539091806,0.999993099,2.357198577,6.181893229,0.231695769,0.511797901
20,400,0.1,700,0.188598461,0.249964788,8.68791492,0.999986724,2.364428089,6.323486832,0.242678274,0.520339899
25,400,0.1,700,0.193033568,0.234588964,8.845133676,0.999974003,2.365158871,6.479974805,0.252680908,0.529411541
30,400,0.1,700,0.196765875,0.218773028,8.994028498,0.999954375,2.361915379,6.632113119,0.261986786,0.538008033
35,400,0.1,700,0.199989441,0.203650284,9.130771017,0.99993005,2.355187063,6.775583953,0.270808777,0.545901787
40,400,0.1,700,0.202830779,0.189528224,9.255310433,0.999894191,2.34538123,6.909929203,0.279295912,0.55308906
45,400,0.1,700,0.205375054,0.176445362,9.368674118,0.999843557,2.332949959,7.035724159,0.287554714,0.559629336
50,400,0.1,700,0.207681864,0.164350644,9.472086256,0.999780984,2.318320628,7.153765629,0.295665131,0.565593522
100,400,0.1,700,0.22365027,0.997324294,0.025713045,0.999999998,0.012956695,0.012756351,0.223732805,0.001524831
1,400,0.025,1000,0.158186003,0.996939947,0.019806625,0.978466585,0.002214095,0.01759253,0.158384585,0.00131621
5,400,0.025,1000,0.168266695,0.354046136,7.813369783,0.914345259,0.912803804,6.900565979,0.315269649,0.475882976
10,400,0.025,1000,0.176439614,0.353439361,8.164735869,0.897328,1.031611182,7.133124687,0.348623374,0.494871106
15,400,0.025,1000,0.18317042,0.330073772,8.467959765,0.882873363,1.07896321,7.388996555,0.375235323,0.512226749
20,400,0.025,1000,0.188598461,0.305800947,8.720579724,0.870194197,1.1164195,7.604160225,0.397256324,0.526676746
25,400,0.025,1000,0.193033568,0.283994096,8.928891314,0.858806558,1.149446742,7.779444572,0.416066607,0.538529988
30,400,0.025,1000,0.196765875,0.26483155,9.101880753,0.848398803,1.178612246,7.923268507,0.432546022,0.548318655
35,400,0.025,1000,0.199989441,0.247963171,9.247167943,0.838766589,1.204410629,8.042757314,0.447255385,0.556494532
40,400,0.025,1000,0.202830779,0.233012224,9.370523313,0.829769021,1.227347565,8.143175748,0.460568483,0.563397849
45,400,0.025,1000,0.205375054,0.219659214,9.476242648,0.821304734,1.247872981,8.228369667,0.472746667,0.569281214
50,400,0.025,1000,0.207681864,0.207647844,9.567554791,0.813297424,1.266363055,8.301191736,0.483980314,0.574333794
100,400,0.025,1000,0.22365027,0.997344829,0.028853887,0.970881197,0.007037679,0.021816208,0.224088916,0.001718068
1,400,0.1,1000,0.158186003,0.991476965,0.035145108,0.999999742,0.007318251,0.027826857,0.158300611,0.002554363
5,400,0.1,1000,0.168266695,0.114626272,10.08048219,0.999610281,1.639925786,8.440556408,0.249359899,0.610731426
10,400,0.1,1000,0.176439614,0.151629819,10.26086708,0.998919787,1.864205932,8.396661151,0.278092231,0.61905783
15,400,0.1,1000,0.18317042,0.143412395,10.48696777,0.997726149,1.847703585,8.639264186,0.306566885,0.632028116
20,400,0.1,1000,0.188598461,0.125607332,10.71255103,0.995922912,1.801548891,8.911002142,0.334409487,0.645111983
25,400,0.1,1000,0.193033568,0.107565032,10.91114683,0.993428123,1.752066953,9.159079874,0.361820918,0.656601
30,400,0.1,1000,0.196765875,0.091354547,11.078674,0.990189351,1.703024813,9.375649183,0.388946457,0.666249166
35,400,0.1,1000,0.199989441,0.077291413,11.21747451,0.986183311,1.655755327,9.561719182,0.415797145,0.674195463
40,400,0.1,1000,0.202830779,0.065253554,11.33099862,0.981411582,1.611101461,9.719897156,0.442288356,0.680645017
45,400,0.1,1000,0.205375054,0.055014303,11.42261524,0.975905135,1.569646206,9.85296903,0.46828907,0.685796634
50,400,0.1,1000,0.207681864,0.046337663,11.49528618,0.969715167,1.531761629,9.963524553,0.493649701,0.689825438
100,400,0.1,1000,0.22365027,0.996445178,0.035104991,0.999999276,0.015414937,0.019690054,0.223805165,0.002082902
1,400,0.025,1300,0.158186003,0.996690133,0.023138732,0.947768465,0.002287227,0.020851506,0.158470845,0.001520829
5,400,0.025,1300,0.168266695,0.295097953,8.782065878,0.828613031,0.860212362,7.921853516,0.369914736,0.535426022
10,400,0.025,1300,0.176439614,0.285987414,9.161363246,0.802272661,0.976753559,8.184609687,0.409047729,0.556053357
15,400,0.025,1300,0.18317042,0.261046303,9.455981037,0.781089148,1.026333355,8.429647683,0.439077425,0.572707183
20,400,0.025,1300,0.188598461,0.237356024,9.685755945,0.763256125,1.064920151,8.620835794,0.463297622,0.585626243
25,400,0.025,1300,0.193033568,0.216924062,9.866000075,0.747763362,1.098227936,8.767772139,0.483580487,0.595663444
30,400,0.025,1300,0.196765875,0.199463264,10.00924114,0.733998102,1.127299555,8.881941583,0.501048962,0.603556717
35,400,0.025,1300,0.199989441,0.184430875,10.12463171,0.721570076,1.152868914,8.971762796,0.51640489,0.609844689
40,400,0.025,1300,0.202830779,0.171357481,10.21864497,0.710213505,1.175552996,9.043091978,0.530111207,0.614906233
45,400,0.025,1300,0.205375054,0.159875485,10.29591994,0.699740117,1.195852481,9.100067462,0.542490173,0.619012142
50,400,0.025,1300,0.207681864,0.149702231,10.35984342,0.690009763,1.214165642,9.145677782,0.553775311,0.622359028
100,400,0.025,1300,0.22365027,0.996789081,0.035326659,0.934093739,0.007830837,0.027495822,0.224286432,0.002104716
1,400,0.1,1300,0.158186003,0.990920502,0.040817391,0.999992496,0.007622458,0.033194933,0.158342712,0.002903864
5,400,0.1,1300,0.168266695,0.071216134,11.34519033,0.991898777,1.299515297,10.04567503,0.326455614,0.689538724
