Vcmax,ca,k,MAP,averA
60,400,0.1,1300,13.28967502
65,400,0.1,1300,14.05064308
70,400,0.1,1300,14.78103706
75,400,0.1,1300,15.48418523
10,400,0.1,1600,2.184189469
15,400,0.1,1600,3.69171616
20,400,0.1,1600,5.159799333
25,400,0.1,1600,6.576393816
30,400,0.1,1600,7.92442374
35,400,0.1,1600,9.19358659
40,400,0.1,1600,10.38351507
45,400,0.1,1600,11.50030737
50,400,0.1,1600,12.55253477
55,400,0.1,1600,13.54881666
60,400,0.1,1600,14.49680546
65,400,0.1,1600,15.40288076
70,400,0.1,1600,16.27225598
75,400,0.1,1600,17.10910848
10,400,0.1,1900,2.184217849
15,400,0.1,1900,3.692268113
20,400,0.1,1900,5.165152249
25,400,0.1,1900,6.600571828
30,400,0.1,1900,7.991323591
35,400,0.1,1900,9.329884716
40,400,0.1,1900,10.61179195
45,400,0.1,1900,11.83626171
50,400,0.1,1900,13.00537196
55,400,0.1,1900,14.12284288
60,400,0.1,1900,15.19305574
65,400,0.1,1900,16.22040335
70,400,0.1,1900,17.20898252
75,400,0.1,1900,18.16241129
10,400,0.1,2200,2.184231707
15,400,0.1,2200,3.692446044
20,400,0.1,2200,5.166730716
25,400,0.1,2200,6.608037293
30,400,0.1,2200,8.013745031
35,400,0.1,2200,9.379878796
40,400,0.1,2200,10.70304435
45,400,0.1,2200,11.98137342
50,400,0.1,2200,13.21466703
55,400,0.1,2200,14.40403688
60,400,0.1,2200,15.55145514
65,400,0.1,2200,16.65933841
70,400,0.1,2200,17.73024458
75,400,0.1,2200,18.76668172
10,400,0.1,2500,2.184239924
15,400,0.1,2500,3.692524405
20,400,0.1,2500,5.167345263
25,400,0.1,2500,6.610930613
30,400,0.1,2500,8.022717615
35,400,0.1,2500,9.400766676
40,400,0.1,2500,10.74296587
45,400,0.1,2500,12.04778416
50,400,0.1,2500,13.31455434
55,400,0.1,2500,14.54344725
60,400,0.1,2500,15.73529468
65,400,0.1,2500,16.89137184
70,400,0.1,2500,18.01320282
75,400,0.1,2500,19.10241637
10,400,0.1,2800,2.184245372
15,400,0.1,2800,3.692566534
20,400,0.1,2800,5.167637126
25,400,0.1,2800,6.612270451
30,400,0.1,2800,8.026910483
35,400,0.1,2800,9.410733268
40,400,0.1,2800,10.76250127
45,400,0.1,2800,12.08113894
50,400,0.1,2800,13.3660133
55,400,0.1,2800,14.61700799
60,400,0.1,2800,15.83447044
65,400,0.1,2800,17.0190755
70,400,0.1,2800,18.17177984
75,400,0.1,2800,19.29364982
10,400,0.1,3100,2.184249254
15,400,0.1,3100,3.692592365
20,400,0.1,3100,5.167797009
25,400,0.1,3100,6.612980061
30,400,0.1,3100,8.02912701
35,400,0.1,3100,9.416052923
40,400,0.1,3100,10.77307581
45,400,0.1,3100,12.09947777
50,400,0.1,3100,13.39475737
55,400,0.1,3100,14.65872256
60,400,0.1,3100,15.89153679
65,400,0.1,3100,17.09355555
70,400,0.1,3100,18.2654091
75,400,0.1,3100,19.407831
10,400,0.1,3400,2.184252162
15,400,0.1,3400,3.692609696
20,400,0.1,3400,5.167894249
25,400,0.1,3400,6.613396164
30,400,0.1,3400,8.030417115
35,400,0.1,3400,9.419160039
40,400,0.1,3400,10.779301
45,400,0.1,3400,12.11038046
50,400,0.1,3400,13.41201996
55,400,0.1,3400,14.68403207
60,400,0.1,3400,15.92649463
65,400,0.1,3400,17.13960142
70,400,0.1,3400,18.32378943
75,400,0.1,3400,19.47958539
10,400,0.1,3700,2.184254423
15,400,0.1,3700,3.692622093
20,400,0.1,3700,5.167958207
25,400,0.1,3700,6.613660054
30,400,0.1,3700,8.03122691
35,400,0.1,3700,9.421110418
40,400,0.1,3700,10.78322537
45,400,0.1,3700,12.11729411
50,400,0.1,3700,13.42304227
55,400,0.1,3700,14.70030651
60,400,0.1,3700,15.9491266
65,400,0.1,3700,17.16960565
70,400,0.1,3700,18.36206293
75,400,0.1,3700,19.52689349
10,400,0.1,4000,2.184256233
15,400,0.1,4000,3.692631391
20,400,0.1,4000,5.16800287
25,400,0.1,4000,6.613838009
30,400,0.1,4000,8.031766653
35,400,0.1,4000,9.422407771
40,400,0.1,4000,10.78584115
45,400,0.1,4000,12.12191886
50,400,0.1,4000,13.43045174
55,400,0.1,4000,14.71130007
60,400,0.1,4000,15.96448959
65,400,0.1,4000,17.1900692
70,400,0.1,4000,18.38828295
75,400,0.1,4000,19.55943738
