"h3","ps","g1"
1,-7.46765811471187,-0.373800006151561
1,-7.39299733356475,-0.369518935988933
1,-7.31833655241763,-0.364880885279649
1,-7.24367577127052,-0.359860794841508
1,-7.1690149901234,-0.354432633848714
1,-7.09435420897628,-0.348568321888128
1,-7.01969342782916,-0.342238709635976
1,-6.94503264668204,-0.335413015524693
1,-6.87037186553492,-0.328058826728959
1,-6.7957110843878,-0.320142336258333
1,-6.72105030324068,-0.311627777952119
1,-6.64638952209357,-0.302477839631889
1,-6.57172874094645,-0.292653667164151
1,-6.49706795979933,-0.282114408446326
1,-6.42240717865221,-0.270817682402725
1,-6.34774639750509,-0.258719358505241
1,-6.27308561635797,-0.24577361012301
1,-6.19842483521085,-0.231933046815307
1,-6.12376405406373,-0.217148623062101
1,-6.04910327291662,-0.201369791680023
1,-5.9744424917695,-0.184544677057649
1,-5.89978171062238,-0.166620182037888
1,-5.82512092947526,-0.147541804401397
1,-5.75046014832814,-0.127254292444978
1,-5.67579936718102,-0.105701522617033
1,-5.6011385860339,-0.08282676452223
1,-5.52647780488678,-0.0585728900762952
1,-5.45181702373967,-0.0328826150039064
1,-5.37715624259255,-0.0056987043835178
1,-5.30249546144543,0.0230357612683511
1,-5.22783468029831,0.0533771308270067
1,-5.15317389915119,0.0853809772847437
1,-5.07851311800407,0.119101789555723
1,-5.00385233685695,0.154592783152153
1,-4.92919155570983,0.191905769841617
1,-4.85453077456272,0.231090699889762
1,-4.7798699934156,0.272195656719956
1,-4.70520921226848,0.315266768471637
1,-4.63054843112136,0.360348093431337
1,-4.55588764997424,0.407479907105074
1,-4.48122686882712,0.456702425272613
1,-4.40656608768,0.50805138606236
1,-4.33190530653289,0.561560585173663
1,-4.25724452538577,0.617260839027149
1,-4.18258374423865,0.675180231651815
1,-4.10792296309153,0.73534402288314
1,-4.03326218194441,0.797774583294812
1,-3.95860140079729,0.862491377066148
1,-3.88394061965017,0.929510898895756
1,-3.80927983850305,0.998846859840106
1,-3.73461905735594,1.07050999963343
1,-3.65995827620882,1.1445080914372
1,-3.5852974950617,1.22084617839392
1,-3.51063671391458,1.29952628661811
1,-3.43597593276746,1.38054780060179
1,-3.36131515162034,1.46390725583012
1,-3.28665437047322,1.54959768947684
1,-3.2119935893261,1.6376114622509
1,-3.13733280817899,1.72793552485928
1,-3.06267202703187,1.82055714785293
1,-2.98801124588475,1.91545895068577
1,-2.91335046473763,2.01262198058266
1,-2.83868968359051,2.11202469502605
1,-2.76402890244339,2.21364525757877
1,-2.68936812129627,2.31745719906763
1,-2.61470734014916,2.42343371811364
1,-2.54004655900204,2.53154528932462
1,-2.46538577785492,2.64176248537884
1,-2.3907249967078,2.754053362086
1,-2.31606421556068,2.8683852683191
1,-2.24140343441356,2.98472427308323
1,-2.16674265326644,3.10303637548824
1,-2.09208187211932,3.22328595258748
1,-2.01742109097221,3.34543833669235
1,-1.94276030982509,3.46945931670244
1,-1.86809952867797,3.59531037777602
1,-1.79343874753085,3.72296173602975
1,-1.71877796638373,3.85236980426674
1,-1.64411718523661,3.98351072479924
1,-1.56945640408949,4.11634887398863
1,-1.49479562294237,4.25085179616416
1,-1.42013484179526,4.38697936494728
1,-1.34547406064814,4.52471429462927
1,-1.27081327950102,4.66402289511148
1,-1.1961524983539,4.80487791290104
