"w","gs"
0,-Inf
0.01,-9.3401925717133e-101
0.02,-4.48193489371271e-102
0.03,-7.55488659324388e-103
0.04,-2.11343424434482e-103
0.05,-7.69654887874608e-104
0.06,-3.23720890527704e-104
0.07,-1.44620455727955e-104
0.08,-6.23823569774972e-105
0.09,-2.06782335492198e-105
0.1,2.28691822732806e-94
0.11,3.83512375521165e-33
0.12,1.19409465746145e-13
0.13,1.01986503804009e-06
0.14,0.000564567932929471
0.15,0.00919466209774708
0.16,0.0364708613823004
0.17,0.077584667110346
0.18,0.121858811647592
0.19,0.162771710639987
0.2,0.197980955272562
0.21,0.227288039724115
0.22,0.251321096094074
0.23,0.270921232181801
0.24,0.286898381237485
0.25,0.299951486277799
0.26,0.310655552608906
0.27,0.319473083137449
0.28,0.326772282204013
0.29,0.332845182287983
0.3,0.337923385231008
0.31,0.342190948988503
0.32,0.345794637462505
0.33,0.348851955877022
0.34,0.351457407749151
0.35,0.353687355859825
0.36,0.355603800128772
0.37,0.357257319724021
0.38,0.358689371368017
0.39,0.35993409142351
0.4,0.361019714728457
0.41,0.361969696546943
0.42,0.362803603715357
0.43,0.363537825644744
0.44,0.364186144132202
0.45,0.364760192035402
0.46,0.365269824086799
0.47,0.365723417947554
0.48,0.366128119634289
0.49,0.366490044400645
0.5,0.366814441799751
0.51,0.36710583182741
0.52,0.367368117624234
0.53,0.36760467910397
0.54,0.367818451003416
0.55,0.368011988162408
0.56,0.36818752029905
0.57,0.368346998113876
0.58,0.368492132212705
0.59,0.368624426062815
0.6,0.368745203976053
0.61,0.368855634934461
0.62,0.368956752929974
0.63,0.36904947437294
0.64,0.369134613029047
0.65,0.3692128928666
0.66,0.369284959132438
0.67,0.369351387922478
0.68,0.369412694469789
0.69,0.369469340337472
0.7,0.369521739674088
0.71,0.369570264664856
0.72,0.369615250291375
0.73,0.369656998495559
0.74,0.369695781829142
0.75,0.36973184665813
0.76,0.369765415981429
0.77,0.369796691914378
0.78,0.369825857880678
0.79,0.36985308055013
0.8,0.369878511554371
0.81,0.369902289008403
0.82,0.36992453886194
0.83,0.36994537610137
0.84,0.369964905820401
0.85,0.369983224175051
0.86,0.370000419236673
0.87,0.370016571754901
0.88,0.370031755840931
0.89,0.370046039580234
0.9,0.370059485582677
0.91,0.370072151477054
0.92,0.370084090356159
0.93,0.370095351177842
0.94,0.37010597912678
0.95,0.370116015941206
0.96,0.370125500208297
0.97,0.370134467631519
0.98,0.370142951272833
0.99,0.370150981772376
1,0.370158587547884
